open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
6175.0,6375.0,6175.0,6350.0,64019400.0,,,6350.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-09T00:00:00+0000
6200.0,6275.0,6125.0,6275.0,63001700.0,,,6275.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-06T00:00:00+0000
6350.0,6375.0,6150.0,6175.0,56445900.0,,,6175.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-05T00:00:00+0000
6275.0,6450.0,6225.0,6350.0,54331300.0,,,6350.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-04T00:00:00+0000
6100.0,6275.0,6100.0,6250.0,78315400.0,,,6250.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-03T00:00:00+0000
6175.0,6250.0,5975.0,5975.0,98855700.0,,,5975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-12-02T00:00:00+0000
6325.0,6375.0,6125.0,6150.0,119662000.0,,,6150.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-29T00:00:00+0000
6350.0,6525.0,6350.0,6525.0,68148300.0,,,6525.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-28T00:00:00+0000
6600.0,6600.0,6325.0,6400.0,107194300.0,,,6400.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-26T00:00:00+0000
6325.0,6600.0,6325.0,6600.0,112344200.0,,,6600.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-25T00:00:00+0000
6125.0,6300.0,6100.0,6250.0,72898500.0,,,6250.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-22T00:00:00+0000
6225.0,6225.0,6125.0,6175.0,59693800.0,,,6175.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-21T00:00:00+0000
6325.0,6350.0,6200.0,6200.0,56547600.0,,,6200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-20T00:00:00+0000
6375.0,6375.0,6225.0,6250.0,78222800.0,,,6250.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-19T00:00:00+0000
6350.0,6425.0,6225.0,6300.0,71108400.0,,,6300.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-18T00:00:00+0000
6300.0,6400.0,6300.0,6375.0,27198800.0,,,6375.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-15T00:00:00+0000
6375.0,6475.0,6350.0,6425.0,57114800.0,,,6425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-14T00:00:00+0000
6500.0,6550.0,6400.0,6450.0,90861300.0,,,6450.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-13T00:00:00+0000
6375.0,6450.0,6325.0,6400.0,101323400.0,,,6400.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-12T00:00:00+0000
6300.0,6450.0,6150.0,6350.0,115170600.0,,,6350.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-11T00:00:00+0000
6425.0,6525.0,6275.0,6325.0,172037700.0,,,6325.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-08T00:00:00+0000
6500.0,6550.0,6425.0,6425.0,117176400.0,,,6425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-07T00:00:00+0000
6925.0,6925.0,6550.0,6575.0,130621300.0,,,6575.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-06T00:00:00+0000
6725.0,6950.0,6675.0,6925.0,78668600.0,,,6925.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-05T00:00:00+0000
6600.0,6800.0,6525.0,6750.0,68000800.0,,,6750.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-04T00:00:00+0000
6725.0,6725.0,6550.0,6600.0,82948500.0,,,6600.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-11-01T00:00:00+0000
6750.0,6825.0,6700.0,6700.0,79457500.0,,,6700.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-31T00:00:00+0000
6575.0,6775.0,6575.0,6750.0,105349200.0,,,6750.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-30T00:00:00+0000
6800.0,6850.0,6725.0,6750.0,72013100.0,,,6750.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-29T00:00:00+0000
7075.0,7075.0,6800.0,6825.0,97109700.0,,,6825.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-28T00:00:00+0000
6975.0,7050.0,6975.0,7000.0,25994400.0,,,7000.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-25T00:00:00+0000
7000.0,7150.0,6975.0,6975.0,47059900.0,,,6975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-24T00:00:00+0000
7075.0,7125.0,7025.0,7050.0,27718500.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-23T00:00:00+0000
7150.0,7175.0,7075.0,7125.0,32376100.0,,,7125.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-22T00:00:00+0000
7250.0,7250.0,7125.0,7175.0,35083100.0,,,7175.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-21T00:00:00+0000
7275.0,7300.0,7175.0,7200.0,46247900.0,,,7200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-18T00:00:00+0000
7050.0,7250.0,7000.0,7225.0,77647600.0,,,7225.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-17T00:00:00+0000
7000.0,7075.0,6925.0,7025.0,77993000.0,,,7025.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-16T00:00:00+0000
7000.0,7100.0,6925.0,7050.0,76958000.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-15T00:00:00+0000
6925.0,6975.0,6900.0,6950.0,48090200.0,,,6950.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-14T00:00:00+0000
7025.0,7025.0,6925.0,6950.0,39354400.0,,,6950.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-11T00:00:00+0000
7075.0,7175.0,6975.0,6975.0,61539500.0,,,6975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-09T00:00:00+0000
6825.0,7150.0,6775.0,7125.0,107353000.0,,,7125.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-08T00:00:00+0000
6925.0,6925.0,6800.0,6825.0,92203200.0,,,6825.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-07T00:00:00+0000
7025.0,7050.0,6900.0,6900.0,66497200.0,,,6900.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-04T00:00:00+0000
7000.0,7075.0,6900.0,7025.0,79453900.0,,,7025.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-03T00:00:00+0000
7025.0,7100.0,6925.0,6975.0,76142800.0,,,6975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-02T00:00:00+0000
7000.0,7075.0,6950.0,7050.0,69220000.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-10-01T00:00:00+0000
7000.0,7025.0,6875.0,6975.0,115047900.0,,,6975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-30T00:00:00+0000
7025.0,7125.0,7000.0,7050.0,141590100.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-27T00:00:00+0000
7175.0,7200.0,7100.0,7125.0,144388200.0,,,7125.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-26T00:00:00+0000
7350.0,7350.0,7050.0,7150.0,172387300.0,,,7150.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-25T00:00:00+0000
7400.0,7475.0,7375.0,7400.0,69119300.0,,,7400.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-24T00:00:00+0000
7325.0,7425.0,7300.0,7425.0,61706500.0,,,7425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-23T00:00:00+0000
7400.0,7425.0,7325.0,7375.0,48688900.0,,,7375.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-20T00:00:00+0000
7450.0,7550.0,7400.0,7425.0,106926800.0,,,7425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-19T00:00:00+0000
7375.0,7450.0,7350.0,7400.0,39778800.0,,,7400.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-18T00:00:00+0000
7325.0,7450.0,7300.0,7425.0,83143700.0,,,7425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-17T00:00:00+0000
7300.0,7300.0,7225.0,7275.0,45854000.0,,,7275.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-13T00:00:00+0000
7375.0,7425.0,7300.0,7325.0,55689200.0,,,7325.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-12T00:00:00+0000
7300.0,7400.0,7275.0,7350.0,80135000.0,,,7350.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-11T00:00:00+0000
7250.0,7275.0,7225.0,7250.0,60819500.0,,,7250.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-10T00:00:00+0000
7250.0,7250.0,7200.0,7200.0,59717200.0,,,7200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-09T00:00:00+0000
7175.0,7275.0,7150.0,7250.0,50592100.0,,,7250.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-06T00:00:00+0000
7125.0,7225.0,7125.0,7200.0,52485500.0,,,7200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-05T00:00:00+0000
7000.0,7150.0,7000.0,7125.0,61828600.0,,,7125.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-04T00:00:00+0000
7200.0,7250.0,7050.0,7100.0,64922300.0,,,7100.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-03T00:00:00+0000
7200.0,7275.0,7125.0,7225.0,75764600.0,,,7225.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-09-02T00:00:00+0000
7100.0,7175.0,7075.0,7075.0,64356600.0,,,7075.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-30T00:00:00+0000
7300.0,7300.0,7100.0,7150.0,82022800.0,,,7150.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-29T00:00:00+0000
7025.0,7225.0,7000.0,7200.0,100122100.0,,,7200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-28T00:00:00+0000
7025.0,7050.0,6925.0,6950.0,79467300.0,,,6950.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-27T00:00:00+0000
7050.0,7100.0,7000.0,7050.0,69283500.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-26T00:00:00+0000
7000.0,7075.0,6975.0,7050.0,102258600.0,,,7050.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-23T00:00:00+0000
7150.0,7175.0,6925.0,6975.0,138248800.0,,,6975.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-22T00:00:00+0000
7300.0,7300.0,7225.0,7275.0,77658800.0,,,7275.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-21T00:00:00+0000
7200.0,7350.0,7150.0,7200.0,92704300.0,,,7200.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-20T00:00:00+0000
7075.0,7125.0,7025.0,7100.0,37843000.0,,,7100.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-19T00:00:00+0000
7075.0,7125.0,7025.0,7075.0,54394700.0,,,7075.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-16T00:00:00+0000
7075.0,7075.0,6925.0,7025.0,67440200.0,,,7025.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-15T00:00:00+0000
7075.0,7100.0,7025.0,7100.0,84834200.0,,,7100.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-14T00:00:00+0000
6850.0,7000.0,6850.0,7000.0,52684800.0,,,7000.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-13T00:00:00+0000
6875.0,6900.0,6775.0,6875.0,40288100.0,,,6875.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-12T00:00:00+0000
6825.0,6900.0,6800.0,6875.0,65001800.0,,,6875.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-09T00:00:00+0000
6800.0,6850.0,6725.0,6825.0,68061300.0,,,6825.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-08T00:00:00+0000
6725.0,6775.0,6650.0,6725.0,65188400.0,,,6725.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-07T00:00:00+0000
6650.0,6700.0,6525.0,6650.0,80405700.0,,,6650.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-06T00:00:00+0000
6700.0,6725.0,6500.0,6525.0,171256800.0,,,6525.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-05T00:00:00+0000
6700.0,6875.0,6675.0,6775.0,128060600.0,,,6775.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-02T00:00:00+0000
6550.0,6750.0,6500.0,6750.0,143439200.0,,,6750.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-08-01T00:00:00+0000
6400.0,6475.0,6375.0,6400.0,68259000.0,,,6400.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-07-31T00:00:00+0000
6475.0,6550.0,6375.0,6425.0,68934600.0,,,6425.0,,,1.0,0.0,BMRI.XIDX,XIDX,2024-07-30T00:00:00+0000
