open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
137.0,141.0,136.0,140.0,2014500.0,,,140.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-09T00:00:00+0000
139.0,139.0,137.0,138.0,271800.0,,,138.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-06T00:00:00+0000
138.0,139.0,137.0,138.0,341000.0,,,138.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-05T00:00:00+0000
138.0,140.0,138.0,139.0,648500.0,,,139.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-04T00:00:00+0000
137.0,140.0,136.0,138.0,1170800.0,,,138.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-03T00:00:00+0000
140.0,141.0,137.0,137.0,1280800.0,,,137.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-12-02T00:00:00+0000
140.0,141.0,138.0,139.0,927100.0,,,139.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-29T00:00:00+0000
143.0,143.0,139.0,139.0,819800.0,,,139.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-28T00:00:00+0000
140.0,143.0,139.0,140.0,1817800.0,,,140.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-26T00:00:00+0000
139.0,143.0,139.0,140.0,5498500.0,,,140.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-25T00:00:00+0000
138.0,141.0,138.0,139.0,648500.0,,,139.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-22T00:00:00+0000
140.0,142.0,137.0,138.0,2277500.0,,,138.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-21T00:00:00+0000
140.0,144.0,135.0,139.0,5460900.0,,,139.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-20T00:00:00+0000
130.0,138.0,130.0,138.0,2730800.0,,,138.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-19T00:00:00+0000
135.0,138.0,133.0,134.0,1773500.0,,,134.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-18T00:00:00+0000
137.0,140.0,133.0,135.0,3669200.0,,,135.0,,,1.0,0.0,TMAS.XIDX,XIDX,2024-11-15T00:00:00+0000
